fechas y
1979-06-23 7.457808  
1979-07-23 7.393253  
1979-08-23 7.414603  
1979-09-23 7.400773  
1979-10-23 7.425380  
1979-11-23 7.428092  
1979-12-23 7.555071  
1980-01-23 7.756131  
1980-02-23 7.380870  
1980-03-23 7.453590  
1980-04-23 7.447030  
1980-05-23 7.462989  
1980-06-23 7.542569  
1980-07-23 7.451337  
1980-08-23 7.480591  
1980-09-23 7.460902  
1980-10-23 7.482880  
1980-11-23 7.500969  
1980-12-23 7.606425  
1981-01-23 7.795742  
1981-02-23 7.423007  
1981-03-23 7.501733  
1981-04-23 7.486199  
1981-05-23 7.485330  
1981-06-23 7.590517  
1981-07-23 7.487320  
1981-08-23 7.527039  
1981-09-23 7.496203  
1981-10-23 7.510985  
1981-11-23 7.544203  
1981-12-23 7.633714  
1982-01-23 7.826333  
1982-02-23 7.441852  
1982-03-23 7.536666  
1982-04-23 7.527236  
1982-05-23 7.515184  
1982-06-23 7.624402  
1982-07-23 7.497514  
1982-08-23 7.576139  
1982-09-23 7.540613  
1982-10-23 7.550687  
1982-11-23 7.578108  
1982-12-23 7.665769  
1983-01-23 7.890971  
1983-02-23 7.472216  
1983-03-23 7.562406  
1983-04-23 7.586624  
1983-05-23 7.592082  
1983-06-23 7.714441  
1983-07-23 7.560834  
1983-08-23 7.648328  
1983-09-23 7.582489  
1983-10-23 7.605354  
1983-11-23 7.633008  
1983-12-23 7.727292  
1984-01-23 7.987018  
1984-02-23 7.539064  
1984-03-23 7.623796  
1984-04-23 7.643490  
1984-05-23 7.650828  
1984-06-23 7.810757  
1984-07-23 7.671436  
1984-08-23 7.726269  
1984-09-23 7.647412  
1984-10-23 7.675968  
1984-11-23 7.713969  
1984-12-23 7.809150  
1985-01-23 8.070346  
1985-02-23 7.618391  
1985-03-23 7.720407  
1985-04-23 7.671144  
1985-05-23 7.695719  
1985-06-23 7.862450  
1985-07-23 7.733772  
1985-08-23 7.760652  
1985-09-23 7.710092  
1985-10-23 7.718306  
1985-11-23 7.796094  
1985-12-23 7.874015  
1986-01-23 8.137168  
1986-02-23 7.675349  
1986-03-23 7.759496  
1986-04-23 7.715530  
1986-05-23 7.747152  
1986-06-23 7.894052  
1986-07-23 7.733162  
1986-08-23 7.773182  
1986-09-23 7.731386  
1986-10-23 7.741888  
1986-11-23 7.852394  
1986-12-23 7.905898  
1987-01-23 8.162619  
1987-02-23 7.713688  
1987-03-23 7.765396  
1987-04-23 7.729924  
1987-05-23 7.779483  
1987-06-23 7.914820  
1987-07-23 7.750310  
1987-08-23 7.792392  
1987-09-23 7.751280  
1987-10-23 7.756488  
1987-11-23 7.850407  
1987-12-23 7.922946  
1988-01-23 8.170577  
1988-02-23 7.729597  
1988-03-23 7.790140  
1988-04-23 7.731181  
1988-05-23 7.807998  
1988-06-23 7.910798  
1988-07-23 7.775478  
1988-08-23 7.808639  
1988-09-23 7.779886  
1988-10-23 7.787332  
1988-11-23 7.864630  
1988-12-23 7.957357  
1989-01-23 8.182591  
1989-02-23 7.751746  
1989-03-23 7.793305  
1989-04-23 7.756849  
1989-05-23 7.848306  
1989-06-23 7.944153  
1989-07-23 7.822082  
1989-08-23 7.855061  
1989-09-23 7.824827  
1989-10-23 7.860292  
1989-11-23 7.937563  
1989-12-23 8.004377  
1990-01-23 8.198382  
1990-02-23 7.789080  
1990-03-23 7.824742  
1990-04-23 7.799069  
1990-05-23 7.897528  
1990-06-23 7.993795  
1990-07-23 7.866187  
1990-08-23 7.897366  
1990-09-23 7.872986  
1990-10-23 7.891157  
1990-11-23 8.010122  
1990-12-23 8.056382  
1991-01-23 8.230279  
1991-02-23 7.809395  
1991-03-23 7.856923  
1991-04-23 7.823648  
1991-05-23 7.929615  
1991-06-23 8.020822  
1991-07-23 7.881269  
1991-08-23 7.927686  
1991-09-23 7.884562  
1991-10-23 7.882778  
1991-11-23 8.028217  
1991-12-23 8.101552  
1992-01-23 8.244971  
1992-02-23 7.847789  
1992-03-23 7.870116  
1992-04-23 7.848372  
1992-05-23 7.950044  
1992-06-23 8.065707  
1992-07-23 7.907938  
1992-08-23 7.951450  
1992-09-23 7.933525  
1992-10-23 7.893840  
1992-11-23 8.074185  
1992-12-23 8.133100  
1993-01-23 8.293165  
1993-02-23 7.907077  
1993-03-23 7.901858  
1993-04-23 7.913019  
1993-05-23 7.970246  
1993-06-23 8.096395  
1993-07-23 7.949223  
1993-08-23 8.002020  
1993-09-23 7.978453  
1993-10-23 7.941528  
1993-11-23 8.103769  
1993-12-23 8.145301  
1994-01-23 8.339398  
1994-02-23 7.909348  
1994-03-23 7.906010  
1994-04-23 7.951840  
1994-05-23 7.998240  
1994-06-23 8.116141  
1994-07-23 8.000118  
1994-08-23 8.035416  
1994-09-23 8.024465  
1994-10-23 7.976290  
1994-11-23 8.127464  
1994-12-23 8.194328  
1995-01-23 8.388149  
1995-02-23 7.939888  
1995-03-23 7.926928  
1995-04-23 7.967513  
1995-05-23 8.025784  
1995-06-23 8.142059  
1995-07-23 8.031389  
1995-08-23 8.068803  
1995-09-23 8.068989  
1995-10-23 7.956789  
1995-11-23 8.137029  
1995-12-23 8.218514  
1996-01-23 8.409731  
1996-02-23 7.978617  
1996-03-23 7.963203  
1996-04-23 8.013164  
1996-05-23 8.061976  
1996-06-23 8.197332  
1996-07-23 8.042338  
1996-08-23 8.100639  
1996-09-23 8.098306  
1996-10-23 7.998379  
1996-11-23 8.177350  
1996-12-23 8.258683  
1997-01-23 8.461815  
1997-02-23 8.022429  
1997-03-23 8.009790  
1997-04-23 8.073462  
1997-05-23 8.134659  
1997-06-23 8.245436  
1997-07-23 8.112275  
1997-08-23 8.154815  
1997-09-23 8.133057  
1997-10-23 8.081661  
1997-11-23 8.251661  
1997-12-23 8.294682  
1998-01-23 8.511990  
1998-02-23 8.086153  
1998-03-23 8.027535  
1998-04-23 8.140661  
1998-05-23 8.149175  
1998-06-23 8.268468  
1998-07-23 8.134487  
1998-08-23 8.169269  
1998-09-23 8.177649  
1998-10-23 8.117222  
1998-11-23 8.284133  
1998-12-23 8.327705  
1999-01-23 8.564888  
1999-02-23 8.094077  
1999-03-23 8.057703  
1999-04-23 8.185023  
1999-05-23 8.186378  
1999-06-23 8.311199  
1999-07-23 8.168199  
1999-08-23 8.168041  
1999-09-23 8.225679  
1999-10-23 8.149946  
1999-11-23 8.295081  
1999-12-23 8.354948  
2000-01-23 8.594049  
2000-02-23 8.123520  
2000-03-23 8.095466  
2000-04-23 8.245719  
2000-05-23 8.231649  
2000-06-23 8.323888  
2000-07-23 8.182211  
2000-08-23 8.196705  
2000-09-23 8.262877  
2000-10-23 8.199228  
2000-11-23 8.330129  
2000-12-23 8.368732  
2001-01-23 8.620251  
2001-02-23 8.124302  
2001-03-23 8.147030  
2001-04-23 8.274851  
2001-05-23 8.271497  
