año         mes           semana         y
        2002             1               1               10
        2002             1               2                7
        2002             1               3               13
        2002             1               4                8
        2002             2               5               10
        2002             2               6                7
        2002             2               7               15
        2002             2               8                8
        2002             3               9               18
        2002             3              10               13
        2002             3              11               15
        2002             3              12               12
        2002             3              13               14
        2002             4              14               18
        2002             4              15               19
        2002             4              16                9
        2002             4              17                7
        2002             5              18                3
        2002             5              19               10
        2002             5              20               15
        2002             5              21               15
        2002             6              22                9
        2002             6              23                6
        2002             6              24               17
        2002             6              25               12
        2002             6              26               14
        2002             7              27               14
        2002             7              28               23
        2002             7              29               19
        2002             7              30               13
        2002             8              31               18
        2002             8              32               30
        2002             8              33               20
        2002             8              34               31
        2002             8              35               57
        2002             9              36               74
        2002             9              37               62
        2002             9              38               29
        2002             9              39               52
        2002            10              40               40
        2002            10              41               40
        2002            10              42               42
        2002            10              43               35
        2002            11              44               22
        2002            11              45                9
        2002            11              46               10
        2002            11              47               20
        2002            11              48               29
        2002            12              49               28
        2002            12              50               28
        2002            12              51               12
        2002            12              52               20
        2003             1               1                6
        2003             1               2               18
        2003             1               3               24
        2003             1               4               26
        2003             2               5               24
        2003             2               6               30
        2003             2               7               30
        2003             2               8               45
        2003             3               9               36
        2003             3              10               41
        2003             3              11               41
        2003             3              12               38
        2003             3              13               47
        2003             4              14               55
        2003             4              15               56
        2003             4              16               48
        2003             4              17               58
        2003             5              18               60
        2003             5              19               41
        2003             5              20               65
        2003             5              21               70
        2003             5              22               62
        2003             6              23               70
        2003             6              24               62
        2003             6              25               65
        2003             6              26               60
        2003             7              27               72
        2003             7              28               58
        2003             7              29               95
        2003             7              30               61
        2003             8              31               51
        2003             8              32               78
        2003             8              33               53
        2003             8              34               77
        2003             8              35               85
        2003             9              36               76
        2003             9              37               66
        2003             9              38               80
        2003             9              39               67
        2003            10              40               57
        2003            10              41               64
        2003            10              42               50
        2003            10              43               76
        2003            11              44               47
        2003            11              45               41
        2003            11              46               49
        2003            11              47               23
        2003            11              48               27
        2003            12              49               30
        2003            12              50               20
        2003            12              51               17
        2003            12              52               25
        2004             1               1               18
        2004             1               2               25
        2004             1               3               25
        2004             1               4               21
        2004             2               5               21
        2004             2               6               15
        2004             2               7                9
        2004             2               8               15
        2004             3               9                9
        2004             3              10               10
        2004             3              11               13
        2004             3              12               10
        2004             4              13                9
        2004             4              14                9
        2004             4              15               14
        2004             4              16                9
        2004             5              17                7
        2004             5              18               11
