# Colombia, número de unidades aprobadas para vivienda
# 88 municipios 2009 - 2017

#        Total VivieVivienda de interés social       Vivienda no VIS
fecha                    Totalviv   Totalvis   Casasvis  Aparvis     Total       Casas     Apar
          Enero           7.666     3.219     2.102       1.117      4.447     1.777       2.670
          Febrero         7.472     2.567     1.628         939      4.905     1.459       3.446
          Marzo           7.845     3.783     2.117       1.666      4.062     1.676       2.386
          Abril           8.663     3.458     1.627       1.831      5.205     1.599       3.606
          Mayo            7.699     2.519       779       1.740      5.180     1.589       3.591
          Junio           6.834     2.633     1.315       1.318      4.201     1.699       2.502
          Julio          10.193     4.295     1.679       2.616      5.898     1.766       4.132
          Agosto         12.602     7.716     4.982       2.734      4.886     1.757       3.129
          Septiembre      9.861     4.038     1.591       2.447      5.823     1.780       4.043
          Octubre         8.809     2.592     1.492       1.100      6.217     1.753       4.464
          Noviembre       9.914     3.262     1.476       1.786      6.652     1.878       4.774
          Diciembre      13.456     6.231     2.785       3.446      7.225     2.106       5.119
          Enero           6.873     1.429       651         778      5.444     1.642       3.802
          Febrero         8.088     2.328     1.139       1.189      5.760     1.727       4.033
          Marzo          11.423     5.958     3.056       2.902      5.465     1.896       3.569
          Abril          12.313     6.774     3.797       2.977      5.539     1.939       3.600
          Mayo           12.456     6.384     3.198       3.186      6.072     1.978       4.094
          Junio          10.797     4.708     2.583       2.125      6.089     2.135       3.954
          Julio          11.650     3.510     1.263       2.247      8.140     1.836       6.304
          Agosto         15.106     6.647     2.842       3.805      8.459     2.011       6.448
          Septiembre     14.431     5.703     1.572       4.131      8.728     2.413       6.315
          Octubre        10.916     2.222       811       1.411      8.694     2.445       6.249
          Noviembre      22.945    13.961     4.290       9.671      8.984     2.142       6.842
          Diciembre      24.284    13.995     2.838      11.157     10.289     2.638       7.651
          Enero          14.527     3.715     1.665       2.050     10.812     1.919       8.893
          Febrero        13.895     5.268     1.477       3.791      8.627     2.374       6.253
          Marzo          18.200     6.109     1.917       4.192     12.091     3.919       8.172
          Abril          19.344     8.530     1.478       7.052     10.814     1.392       9.422
          Mayo           29.181    16.693     2.156      14.537     12.488     2.524       9.964
          Junio          21.455     8.757     2.078       6.679     12.698     2.963       9.735
          Julio          15.292     5.922     1.502       4.420      9.370     1.460       7.910
          Agosto         16.030     6.751     1.589       5.162      9.279     1.909       7.370
          Septiembre     15.624     6.478     3.411       3.067      9.146     2.284       6.862
          Octubre        14.018     5.807     1.438       4.369      8.211     2.651       5.560
          Noviembre      16.377     8.407     3.928       4.479      7.970     2.308       5.662
          Diciembre      19.356     7.267     3.905       3.362     12.089     3.693       8.396
          Enero          10.690     3.123       630       2.493      7.567     1.377       6.190
          Febrero        12.708     5.206     1.363       3.843      7.502     1.705       5.797
          Marzo          10.752     3.834     1.194       2.640      6.918     1.852       5.066
          Abril          10.625     3.850     2.051       1.799      6.775     2.036       4.739
          Mayo           15.236     2.503       995       1.508     12.733     2.486      10.247
          Junio          17.269     9.188     2.721       6.467      8.081     2.433       5.648
          Julio          13.777     5.282     2.345       2.937      8.495     2.631       5.864
          Agosto         15.917     7.982     1.931       6.051      7.935     2.426       5.509
          Septiembre     17.249     8.426     3.266       5.160      8.823     2.050       6.773
          Octubre        12.060     4.228     2.168       2.060      7.832     2.256       5.576
          Noviembre      12.855     5.831     3.587       2.244      7.024     2.102       4.922
          Diciembre      26.065    15.636     4.987      10.649     10.429     2.513       7.916
          Enero          13.516     4.559     2.231       2.328      8.957     2.844       6.113
          Febrero        18.931     9.733     4.224       5.509      9.198     1.711       7.487
          Marzo          16.489     8.888     5.019       3.869      7.601     1.535       6.066
          Abril          17.534     9.434     4.655       4.779      8.100     2.324       5.776
          Mayo           24.158    13.086     2.569      10.517     11.072     2.462       8.610
          Junio          14.141     6.864     1.540       5.324      7.277     2.135       5.142
          Julio          14.665     7.631     2.047       5.584      7.034     2.637       4.397
          Agosto         19.943    11.258     2.816       8.442      8.685     2.090       6.595
          Septiembre     15.844     7.921     2.531       5.390      7.923     2.119       5.804
          Octubre        19.327     9.957     3.105       6.852      9.370     3.013       6.357
          Noviembre      17.947     9.757     1.109       8.648      8.190     2.031       6.159
          Diciembre      17.162     9.547     3.672       5.875      7.615     2.327       5.288
          Enero          12.910     3.931       603       3.328      8.979     1.457       7.522
          Febrero        19.931    10.794       786      10.008      9.137     1.777       7.360
          Marzo          18.234     8.919     3.455       5.464      9.315     1.966       7.349
          Abril          12.998     4.288       729       3.559      8.710     1.851       6.859
          Mayo           15.709     7.605     1.986       5.619      8.104     2.442       5.662
          Junio          11.055     2.810     2.048         762      8.245     2.097       6.148
          Julio          22.082    11.736     2.117       9.619     10.346     2.390       7.956
          Agosto         12.830     6.698     1.936       4.762      6.132     1.904       4.228
          Septiembre     12.026     4.978     1.197       3.781      7.048     1.884       5.164
          Octubre        17.505     6.947       692       6.255     10.558     2.313       8.245
          Noviembre      14.988     9.368     1.628       7.740      5.620     1.870       3.750
          Diciembre      22.000    11.298     1.332       9.966     10.702     4.867       5.835
          Enero          15.596     7.131     1.746       5.385      8.465     2.277       6.188
          Febrero        17.674     7.809     2.268       5.541      9.865     2.329       7.536
          Marzo          15.051     5.365     2.742       2.623      9.686     2.704       6.982
          Abril          20.427     8.772     2.382       6.390     11.655     3.724       7.931
          Mayo           11.411     3.837       740       3.097      7.574     2.605       4.969
          Junio          19.924     8.915     3.287       5.628     11.009     2.639       8.370
          Julio          14.053     3.794       724       3.070     10.259     2.789       7.470
          Agosto         14.370     4.323       254       4.069     10.047     1.858       8.189
          Septiembre     20.157    10.266     1.188       9.078      9.891     2.574       7.317
          Octubre        16.829     8.644     2.344       6.300      8.185     1.965       6.220
          Noviembre      12.397     3.997     1.678       2.319      8.400     2.319       6.081
          Diciembre      31.440     9.931     2.415       7.516     21.509     4.052      17.457
          Enero          11.420     5.512       539       4.973      5.908     1.369       4.539
          Febrero        11.907     4.189     1.461       2.728      7.718     2.073       5.645
          Marzo          12.717     5.699       385       5.314      7.018     1.409       5.609
          Abril          11.914     4.317       747       3.570      7.597     1.940       5.657
          Mayo           16.899     6.197       787       5.410     10.702     2.438       8.264
          Junio          12.360     4.985       636       4.349      7.375     1.904       5.471
          Julio          12.881     5.337       879       4.458      7.544     1.570       5.974
          Agosto         13.692     3.255       370       2.885     10.437     2.166       8.271
          Septiembre     15.299     6.332       978       5.354      8.967     2.283       6.684
          Octubre        13.037     4.010       173       3.837      9.027     2.009       7.018
          Noviembre      17.123     8.562       582       7.980      8.561     2.156       6.405
          Diciembre      21.092     9.937       639       9.298     11.155     2.508       8.647
