Date,Open,High,Low,Close,Volume,AdjClose
2016-09-07,106.80,108.245,106.40,108.10,17500,108.10
2016-09-06,108.50,108.809,107.71,108.00,5100,108.00
2016-09-05,108.90,108.999,107.825,107.99,16600,107.99
2016-09-02,106.60,108.599,106.551,108.16,5500,108.16
2016-09-01,107.10,107.863,105.80,106.65,12800,106.65
2016-08-31,108.15,108.266,107.041,107.202,11600,107.202
2016-08-30,107.71,108.957,107.71,108.311,17300,108.311
2016-08-29,107.06,107.80,106.757,107.60,11400,107.60
2016-08-26,106.80,108.32,106.80,107.15,8900,107.15
2016-08-25,107.65,107.707,106.80,106.80,12000,106.80
2016-08-24,106.67,108.70,106.261,107.898,15700,107.898
2016-08-23,105.85,107.507,105.85,106.734,8900,106.734
2016-08-22,106.51,107.807,105.501,105.851,12700,105.851
2016-08-19,106.30,106.895,105.307,106.55,12200,106.55
2016-08-18,105.89,106.245,105.60,106.064,10100,106.064
2016-08-17,105.40,106.62,105.057,105.51,17000,105.51
2016-08-16,106.40,106.501,105.507,105.85,22800,105.85
2016-08-15,107.10,107.839,106.55,106.723,16700,106.723
2016-08-12,107.00,107.901,106.827,107.20,31600,107.20
2016-08-11,105.20,107.199,105.20,106.801,41200,106.801
2016-08-10,105.70,106.11,105.001,105.151,33400,105.151
2016-08-09,103.421,106.061,103.21,105.411,46200,105.411
2016-08-08,102.10,104.907,102.10,103.373,45900,103.373
2016-08-05,100.99,102.50,100.439,102.074,31200,102.074
2016-08-04,98.28,101.907,98.201,100.95,72400,100.95
2016-08-03,96.00,96.80,95.685,96.676,4200,96.676
2016-08-02,97.222,97.222,95.838,95.838,2500,95.838
2016-08-01,97.60,98.255,96.524,96.80,10000,96.80
2016-07-29,97.00,97.50,96.50,96.801,6100,96.801
2016-07-28,96.298,97.44,96.201,97.00,11600,97.00
2016-07-27,95.776,96.922,95.776,96.401,10300,96.401
2016-07-26,95.30,96.00,95.30,95.80,3900,95.80
2016-07-25,94.65,95.945,94.65,95.262,5100,95.262
2016-07-22,94.50,95.418,94.50,94.793,2600,94.793
2016-07-21,94.90,95.726,94.354,94.765,6000,94.765
2016-07-20,93.401,95.305,93.401,94.90,7300,94.90
2016-07-19,93.40,93.592,92.704,93.369,2600,93.369
2016-07-18,94.53,95.116,93.63,93.90,4100,93.90
2016-07-15,93.80,94.383,93.61,94.09,3000,94.09
2016-07-14,92.75,94.515,92.75,93.877,10000,93.877
2016-07-13,92.97,93.514,92.45,93.00,6000,93.00
2016-07-12,92.00,93.74,92.00,93.254,14200,93.254
2016-07-11,90.30,92.414,90.30,92.027,8100,92.027
2016-07-08,87.95,89.331,87.748,89.331,3000,89.331
2016-07-07,88.77,89.098,87.948,88.10,8900,88.10
2016-07-06,89.50,89.67,87.898,88.601,11000,88.601
2016-07-05,91.40,91.451,89.583,89.75,5600,89.75
2016-07-04,92.25,92.47,91.76,92.07,3000,92.07
2016-07-01,92.40,92.40,91.32,91.788,3800,91.788
2016-06-30,91.00,92.659,90.37,92.63,12300,92.63
2016-06-29,90.15,90.998,89.33,90.90,8100,90.90
2016-06-28,89.00,89.829,88.31,89.50,23300,89.50
2016-06-27,89.30,90.49,86.853,87.711,25600,87.711
2016-06-24,88.02,91.335,87.10,90.00,81900,90.00
2016-06-23,96.60,98.333,96.42,97.33,15600,97.33
2016-06-22,96.50,97.00,95.95,96.173,18100,96.173
2016-06-21,95.00,96.123,94.938,95.85,4000,95.85
2016-06-20,93.60,95.424,93.60,95.06,8000,95.06
2016-06-17,91.80,92.453,91.50,92.268,5200,92.268
2016-06-16,91.00,91.779,89.598,91.699,12200,91.699
2016-06-15,90.50,92.193,90.50,91.86,7300,91.86
