Fecha		Ap	Pb   ENSO
01/06/1998       173.46              41.46729767      -0.2
02/06/1998        167.9              42.56089163      -0.2
03/06/1998        201.3              42.82871056      -0.2
04/06/1998       160.69              41.15484225      -0.2
05/06/1998       153.56              43.29739369      -0.2
06/06/1998       120.25              43.67680384      -0.2
07/06/1998        115.1              40.95397805      -0.2
08/06/1998       128.56              42.71711934      -0.2
09/06/1998       123.86              40.70847737      -0.2
10/06/1998       106.43              41.04325103      -0.2
11/06/1998        81.12              44.39098765      -0.2
12/06/1998       122.09               40.9762963      -0.2
13/06/1998       101.39              40.99861454      -0.2
14/06/1998        79.93              39.21315501      -0.2
15/06/1998        224.8               38.8560631      -0.2
16/06/1998       188.91              41.51193416      -0.2
17/06/1998       122.79              45.55153635      -0.2
18/06/1998       102.09              44.59185185      -0.2
19/06/1998       139.95              40.88702332      -0.2
20/06/1998       145.02              43.67680384      -0.2
21/06/1998       161.56               40.9762963      -0.2
22/06/1998       241.89              38.56592593      -0.2
23/06/1998       175.41              37.91869684      -0.2
24/06/1998       139.01              39.45865569      -0.2
25/06/1998       153.98               38.8560631      -0.2
26/06/1998       152.75              39.14620027      -0.2
27/06/1998       197.71              39.32474623      -0.2
28/06/1998       247.92              36.86973937      -0.2
29/06/1998       208.43              36.13323731      -0.2
30/06/1998       143.55              37.27146776      -0.2
01/07/1998       121.06              41.53975034      -0.7
02/07/1998       123.81              44.93845719      -0.7
03/07/1998       142.66              38.45203628      -0.7
04/07/1998       157.97              41.33982641      -0.7
05/07/1998       236.09              39.89593134      -0.7
06/07/1998       202.28              40.49570314      -0.7
07/07/1998       156.58              39.05180807      -0.7
08/07/1998       165.34              41.00661986      -0.7
09/07/1998       212.23              44.04990638      -0.7
10/07/1998       315.91              42.33944607      -0.7
11/07/1998       179.17              39.05180807      -0.7
12/07/1998        175.8              37.18585138      -0.7
13/07/1998       151.66              40.85112346      -0.7
14/07/1998       141.95              38.45203628      -0.7
15/07/1998       151.77              34.56462649      -0.7
16/07/1998       196.53              35.71974254      -0.7
17/07/1998       227.15              35.60867369      -0.7
18/07/1998       213.47              38.07440218      -0.7
19/07/1998        255.7              34.12035108      -0.7
20/07/1998       183.22              31.21034718      -0.7
21/07/1998       136.67              41.56196411      -0.7
22/07/1998       219.88              39.82929003      -0.7
23/07/1998       172.53              43.76112736      -0.7
24/07/1998       217.15              40.02921397      -0.7
25/07/1998       169.78              37.49684416      -0.7
26/07/1998       180.21              33.52057929      -0.7
27/07/1998        140.3              45.04952604      -0.7
28/07/1998       143.08              42.45051492      -0.7
29/07/1998       160.46              48.07059879      -0.7
30/07/1998       206.72              44.51639555      -0.7
31/07/1998          103              43.11692803      -0.7
01/08/1998       114.45              42.87806395        -1
02/08/1998       122.33              39.56950283        -1
03/08/1998       116.86              42.38955157        -1
04/08/1998       128.14              44.65447261        -1
05/08/1998       145.13              46.29765061        -1
06/08/1998       159.63              46.38647105        -1
07/08/1998       215.36              36.70504387        -1
08/08/1998       160.12              38.45924742        -1
09/08/1998       114.16              39.56950283        -1
10/08/1998       108.93               44.8987288        -1
11/08/1998        96.59               48.9622636        -1
12/08/1998       126.43              46.40867616        -1
13/08/1998       116.09              47.05262429        -1
14/08/1998        109.6              44.80990836        -1
15/08/1998       133.77              44.16596023        -1
16/08/1998       117.21              41.30150127        -1
17/08/1998        99.67              39.25863131        -1
18/08/1998        97.86              47.16364983        -1
19/08/1998       101.13               46.2532404        -1
20/08/1998       100.42              47.56334178        -1
21/08/1998        100.8              46.23103529        -1
22/08/1998        99.72              47.54113667        -1
23/08/1998        79.43              41.70119322        -1
24/08/1998        84.89              50.42780074        -1
25/08/1998       105.69              51.33821018        -1
26/08/1998        102.5              52.42626048        -1
27/08/1998       117.26              51.22718464        -1
28/08/1998        78.78               51.6712868        -1
29/08/1998         79.7              52.27082472        -1
30/08/1998       107.81              51.49364593        -1
31/08/1998       101.81              53.89179762        -1
01/09/1998        90.78              55.26233281      -1.2
