dia           fecha             y
LUNES         01/01/01          347
MARTES        02/01/01          4388
MIÉRCOLES     03/01/01          3894
JUEVES        04/01/01          3655
VIERNES       05/01/01          4301
SÁBADO        06/01/01          2199
DOMINGO       07/01/01          613
LUNES         08/01/01          618
MARTES        09/01/01          3750
MIÉRCOLES     10/01/01          3335
JUEVES        11/01/01          3322
VIERNES       12/01/01          3380
SÁBADO        13/01/01          1773
DOMINGO       14/01/01          735
LUNES         15/01/01          4921
MARTES        16/01/01          4229
MIÉRCOLES     17/01/01          3869
JUEVES        18/01/01          3584
VIERNES       19/01/01          3596
SÁBADO        20/01/01          2123
DOMINGO       21/01/01          777
LUNES         22/01/01          4630
MARTES        23/01/01          4492
MIÉRCOLES     24/01/01          3392
JUEVES        25/01/01          3313
VIERNES       26/01/01          3491
SÁBADO        27/01/01          1568
DOMINGO       28/01/01          649
LUNES         29/01/01          4109
MARTES        30/01/01          4508
MIÉRCOLES     31/01/01          4626
JUEVES        01/02/01          3887
VIERNES       02/02/01          3530
SÁBADO        03/02/01          1757
DOMINGO       04/02/01          764
LUNES         05/02/01          4065
MARTES        06/02/01          4031
MIÉRCOLES     07/02/01          3507
JUEVES        08/02/01          3152
VIERNES       09/02/01          3317
SÁBADO        10/02/01          1426
DOMINGO       11/02/01          640
LUNES         12/02/01          3689
MARTES        13/02/01          3739
MIÉRCOLES     14/02/01          3634
JUEVES        15/02/01          4002
VIERNES       16/02/01          4130
SÁBADO        17/02/01          1945
DOMINGO       18/02/01          725
LUNES         19/02/01          4038
MARTES        20/02/01          4485
MIÉRCOLES     21/02/01          4068
JUEVES        22/02/01          3655
VIERNES       23/02/01          3776
SÁBADO        24/02/01          1657
DOMINGO       25/02/01          693
LUNES         26/02/01          3548
MARTES        27/02/01          3856
MIÉRCOLES     28/02/01          4143
JUEVES        01/03/01          3994
VIERNES       02/03/01          4256
SÁBADO        03/03/01          1880
DOMINGO       04/03/01          801
LUNES         05/03/01          4934
MARTES        06/03/01          4380
MIÉRCOLES     07/03/01          3800
JUEVES        08/03/01          3136
VIERNES       09/03/01          3646
SÁBADO        10/03/01          1601
DOMINGO       11/03/01          949
LUNES         12/03/01          3786
MARTES        13/03/01          6490
MIÉRCOLES     14/03/01          4714
JUEVES        15/03/01          4416
VIERNES       16/03/01          4268
SÁBADO        17/03/01          2073
DOMINGO       18/03/01          621
LUNES         19/03/01          797
MARTES        20/03/01          6271
MIÉRCOLES     21/03/01          4756
JUEVES        22/03/01          4422
VIERNES       23/03/01          3980
SÁBADO        24/03/01          1831
DOMINGO       25/03/01          767
LUNES         26/03/01          4828
MARTES        27/03/01          4021
MIÉRCOLES     28/03/01          4611
JUEVES        29/03/01          5887
VIERNES       30/03/01          4041
SÁBADO        31/03/01          3209
DOMINGO       01/04/01          926
LUNES         02/04/01          4986
MARTES        03/04/01          4640
MIÉRCOLES     04/04/01          4639
JUEVES        05/04/01          4814
VIERNES       06/04/01          4514
SÁBADO        07/04/01          1844
DOMINGO       08/04/01          748
LUNES         09/04/01          4377
MARTES        10/04/01          4407
MIÉRCOLES     11/04/01          8739
JUEVES        12/04/01          949
VIERNES       13/04/01          539
SÁBADO        14/04/01          1434
DOMINGO       15/04/01          831
LUNES         16/04/01          5913
MARTES        17/04/01          5027
MIÉRCOLES     18/04/01          4425
JUEVES        19/04/01          3953
VIERNES       20/04/01          4490
SÁBADO        21/04/01          2081
DOMINGO       22/04/01          726
LUNES         23/04/01          4351
MARTES        24/04/01          4109
MIÉRCOLES     25/04/01          4087
JUEVES        26/04/01          3899
VIERNES       27/04/01          4283
SÁBADO        28/04/01          2092
DOMINGO       29/04/01          884
LUNES         30/04/01          4914
MARTES        01/05/01          1182
MIÉRCOLES     02/05/01          5450
JUEVES        03/05/01          6141
VIERNES       04/05/01          4928
SÁBADO        05/05/01          3284
DOMINGO       06/05/01          915
LUNES         07/05/01          5076
MARTES        08/05/01          4608
MIÉRCOLES     09/05/01          4232
JUEVES        10/05/01          3921
VIERNES       11/05/01          4376
SÁBADO        12/05/01          2208
DOMINGO       13/05/01          733
LUNES         14/05/01          6070
MARTES        15/05/01          6388
MIÉRCOLES     16/05/01          4953
JUEVES        17/05/01          4500
VIERNES       18/05/01          4372
SÁBADO        19/05/01          2314
DOMINGO       20/05/01          934
LUNES         21/05/01          4838
MARTES        22/05/01          4748
MIÉRCOLES     23/05/01          4393
JUEVES        24/05/01          4270
VIERNES       25/05/01          4525
SÁBADO        26/05/01          2468
DOMINGO       27/05/01          770
LUNES         28/05/01          921
MARTES        29/05/01          5478
MIÉRCOLES     30/05/01          6540
JUEVES        31/05/01          5985
VIERNES       01/06/01          4794
SÁBADO        02/06/01          2145
DOMINGO       03/06/01          892
LUNES         04/06/01          5410
MARTES        05/06/01          5737
MIÉRCOLES     06/06/01          4890
JUEVES        07/06/01          4509
VIERNES       08/06/01          4698
SÁBADO        09/06/01          2162
DOMINGO       10/06/01          1001
LUNES         11/06/01          4800
MARTES        12/06/01          4514
MIÉRCOLES     13/06/01          4097
JUEVES        14/06/01          4414
VIERNES       15/06/01          5866
SÁBADO        16/06/01          3060
DOMINGO       17/06/01          942
LUNES         18/06/01          955
