# Foreign Exchange Rate: United Kingdom 
# (US$/Pound), Average of daily figures 
# Noon buying rates in New York City for cable transfers payable in foreign currencies 
# Source: G.5 Release -- Federal Reserve Board of Governors 
fecha plibra 
1971.01 2.40575 
1971.02 2.41775 
1971.03 2.41870 
1971.04 2.41787 
1971.05 2.41872 
1971.06 2.41885 
1971.07 2.41850 
1971.08 2.43463 
1971.09 2.46943 
1971.10 2.48957 
1971.11 2.49334 
1971.12 2.52664 
1972.01 2.57050 
1972.02 2.60366 
1972.03 2.61805 
1972.04 2.61020 
1972.05 2.61243 
1972.06 2.56912 
1972.07 2.44467 
1972.08 2.45024 
1972.09 2.44105 
1972.10 2.39476 
1972.11 2.35153 
1972.12 2.34485 
1973.01 2.35625 
1973.02 2.42723 
1973.03 2.47240 
1973.04 2.48373 
1973.05 2.53059 
1973.06 2.57615 
1973.07 2.53748 
1973.08 2.47567 
1973.09 2.41828 
1973.10 2.42919 
1973.11 2.38699 
1973.12 2.31738 
1974.01 2.22398 
1974.02 2.27489 
1974.03 2.34064 
1974.04 2.38861 
1974.05 2.41368 
1974.06 2.39018 
1974.07 2.38957 
1974.08 2.34562 
1974.09 2.31655 
1974.10 2.33296 
1974.11 2.32518 
1974.12 2.32938 
1975.01 2.36230 
1975.02 2.39583 
1975.03 2.41796 
1975.04 2.37072 
1975.05 2.32047 
1975.06 2.28033 
1975.07 2.18453 
1975.08 2.11431 
1975.09 2.08343 
1975.10 2.05684 
1975.11 2.04843 
1975.12 2.02206 
1976.01 2.02859 
1976.02 2.02621 
1976.03 1.94275 
1976.04 1.84633 
1976.05 1.80795 
1976.06 1.76398 
1976.07 1.78501 
1976.08 1.78283 
1976.09 1.72720 
1976.10 1.63773 
1976.11 1.63808 
1976.12 1.67839 
1977.01 1.71242 
1977.02 1.71033 
1977.03 1.71741 
1977.04 1.71903 
1977.05 1.71845 
1977.06 1.71914 
1977.07 1.72260 
1977.08 1.73966 
1977.09 1.74314 
1977.10 1.77108 
1977.11 1.81778 
1977.12 1.85458 
1978.01 1.93527 
1978.02 1.93963 
1978.03 1.90547 
1978.04 1.84968 
1978.05 1.81810 
1978.06 1.83725 
1978.07 1.89490 
1978.08 1.94060 
1978.09 1.95953 
1978.10 2.00754 
